# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 4 курс, ДП2301, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	4	Экономика	Баранов В.И.		220	лек.
01.09	5	Методы и средства защиты компьютерной информации	Манин А.А.		220	лек.
02.09	4	Специализированные процессоры	Чикалов А.Н.		310	лек.
02.09	5	WEB - программирование	Ткачук Е.О.		308	лек.
02.09	6	WEB - программирование	Ткачук Е.О.		305	ПЗ
03.09	4	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		220	лек.
03.09	5	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ПЗ
03.09	6	WEB - программирование	Ткачук Е.О.		218	ЛР
04.09	4	Управление и администрирование в информационных системах	Жуковский А.Г.		308	лек.
04.09	5	Управление и администрирование в информационных системах	Жуковский А.Г.		308	лек.
07.09	5	Методы и средства защиты компьютерной информации	Манин А.А.		217	ПЗ
07.09	6	Методы и средства защиты компьютерной информации	Манин А.А.		217	ЛР
08.09	4	Специализированные процессоры	Чикалов А.Н.		220	лек.
08.09	5	WEB - программирование	Ткачук Е.О.		220	лек.
08.09	6	Управление и администрирование в информационных системах	Жуковский А.Г.		216	ЛР
09.09	4	WEB - программирование	Ткачук Е.О.		305	ЛР
09.09	5	Экономика	Баранов В.И.		302	ПЗ
10.09	4	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		218	ПЗ
10.09	5	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	лек.
10.09	6	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ЛР
11.09	4	Информационные системы управления предприятиями	Швидченко С.А.		101	ПЗ
11.09	5	Информационные системы управления предприятиями	Швидченко С.А.		308	лек.
11.09	6	Управление и администрирование в информационных системах	Жуковский А.Г.		216	ПЗ
14.09	4	Управление и администрирование в информационных системах	Жуковский А.Г.		312	ЛР
14.09	5	Управление и администрирование в информационных системах	Жуковский А.Г.		304	лек.
15.09	4	Управление и администрирование в информационных системах	Жуковский А.Г.		218	ЛР
15.09	5	Экономика	Баранов В.И.		308	лек.
16.09	4	Информационные системы управления предприятиями	Швидченко С.А.		308	лек.
16.09	5	WEB - программирование	Ткачук Е.О.		308	лек.
16.09	6	WEB - программирование	Ткачук Е.О.		305	ПЗ
17.09	4	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	лек.
17.09	5	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ПЗ
17.09	6	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ЛР
18.09	5	Специализированные процессоры	Чикалов А.Н.		305	ЛР
18.09	6	Специализированные процессоры	Чикалов А.Н.		305	ЛР
21.09	4	Методы и средства защиты компьютерной информации	Манин А.А.		217	ПЗ
21.09	5	Методы и средства защиты компьютерной информации	Манин А.А.		220	лек.
22.09	4	Управление и администрирование в информационных системах	Жуковский А.Г.		305	ЛР
22.09	5	WEB - программирование	Ткачук Е.О.		305	ЛР
23.09	4	Экономика	Баранов В.И.		308	лек.
23.09	5	WEB - программирование	Ткачук Е.О.		308	лек.
24.09	4	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ПЗ
24.09	5	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	лек.
24.09	6	Разработка кроссплатформенных приложений С++	Лобзенко П.В.		305	ЛР
25.09	5	Экономика	Баранов В.И.		220	лек.
25.09	6	Управление и администрирование в информационных системах	Жуковский А.Г.		216	ПЗ
26.09	2	Специализированные процессоры	Чикалов А.Н.		218	ЛР
26.09	3	Специализированные процессоры	Чикалов А.Н.		220	лек.
28.09	5	Управление и администрирование в информационных системах	Жуковский А.Г.		308	лек.
28.09	6	Специализированные процессоры	Чикалов А.Н.		218	ЛР
29.09	3	Методы и средства защиты компьютерной информации	Манин А.А.		217	ЛР
29.09	4	Методы и средства защиты компьютерной информации	Манин А.А.		308	лек.
29.09	5	Экономика	Баранов В.И.		308	лек.
30.09	4	Информационные системы управления предприятиями	Швидченко С.А.		402	лек.
30.09	5	WEB - программирование	Ткачук Е.О.		220	лек.
30.09	6	WEB - программирование	Ткачук Е.О.		305	ПЗ
